 RUN  v4.1.11 /home/mohamed/Desktop/pharmaa/PharmaElectrons/apps/local-api
stdout | src/inventory/inventory-safety-no-override.integration.test.ts > inventory batch-safety refusal matrix > refuses every hard-blocked batch for every role and Step-Up state
role	stepUp	target	httpNamed	httpUnnamed	inProcess
owner	none	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	none	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	none	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	pending	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	pending	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	pending	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	approved-correction	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	approved-correction	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	approved-correction	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	approved-export	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	approved-export	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
owner	approved-export	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	none	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	none	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	none	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	pending	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	pending	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	pending	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	approved-correction	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	approved-correction	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	approved-correction	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	approved-export	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	approved-export	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
manager	approved-export	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
pharmacist	none	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
pharmacist	none	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
pharmacist	none	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
pharmacist	pending	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
